code,name,type,parent_code,city_class
1300000000,National Capital Region (NCR),region,,
1380100000,City of Caloocan,city,1300000000,HUC
1380100001,Barangay 1,barangay,1380100000,
1380100002,Barangay 2,barangay,1380100000,
1380100003,Barangay 3,barangay,1380100000,
1380100004,Barangay 4,barangay,1380100000,
1380100005,Barangay 5,barangay,1380100000,
1380100006,Barangay 6,barangay,1380100000,
1380100007,Barangay 7,barangay,1380100000,
1380100008,Barangay 8,barangay,1380100000,
1380100009,Barangay 9,barangay,1380100000,
1380100010,Barangay 10,barangay,1380100000,
1380100011,Barangay 11,barangay,1380100000,
1380100012,Barangay 12,barangay,1380100000,
1380100013,Barangay 13,barangay,1380100000,
1380100014,Barangay 14,barangay,1380100000,
1380100015,Barangay 15,barangay,1380100000,
1380100016,Barangay 16,barangay,1380100000,
1380100017,Barangay 17,barangay,1380100000,
1380100018,Barangay 18,barangay,1380100000,
1380100019,Barangay 19,barangay,1380100000,
1380100020,Barangay 20,barangay,1380100000,
1380100021,Barangay 21,barangay,1380100000,
1380100022,Barangay 22,barangay,1380100000,
1380100023,Barangay 23,barangay,1380100000,
1380100024,Barangay 24,barangay,1380100000,
1380100025,Barangay 25,barangay,1380100000,
1380100026,Barangay 26,barangay,1380100000,
1380100027,Barangay 27,barangay,1380100000,
1380100028,Barangay 28,barangay,1380100000,
1380100029,Barangay 29,barangay,1380100000,
1380100030,Barangay 30,barangay,1380100000,
1380100031,Barangay 31,barangay,1380100000,
1380100032,Barangay 32,barangay,1380100000,
1380100033,Barangay 33,barangay,1380100000,
1380100034,Barangay 34,barangay,1380100000,
1380100035,Barangay 35,barangay,1380100000,
1380100036,Barangay 36,barangay,1380100000,
1380100037,Barangay 37,barangay,1380100000,
1380100038,Barangay 38,barangay,1380100000,
1380100039,Barangay 39,barangay,1380100000,
1380100040,Barangay 40,barangay,1380100000,
1380100041,Barangay 41,barangay,1380100000,
1380100042,Barangay 42,barangay,1380100000,
1380100043,Barangay 43,barangay,1380100000,
1380100044,Barangay 44,barangay,1380100000,
1380100045,Barangay 45,barangay,1380100000,
1380100046,Barangay 46,barangay,1380100000,
1380100047,Barangay 47,barangay,1380100000,
1380100048,Barangay 48,barangay,1380100000,
1380100049,Barangay 49,barangay,1380100000,
1380100050,Barangay 50,barangay,1380100000,
1380100051,Barangay 51,barangay,1380100000,
1380100052,Barangay 52,barangay,1380100000,
1380100053,Barangay 53,barangay,1380100000,
1380100054,Barangay 54,barangay,1380100000,
1380100055,Barangay 55,barangay,1380100000,
1380100056,Barangay 56,barangay,1380100000,
1380100057,Barangay 57,barangay,1380100000,
1380100058,Barangay 58,barangay,1380100000,
1380100059,Barangay 59,barangay,1380100000,
1380100060,Barangay 60,barangay,1380100000,
1380100061,Barangay 61,barangay,1380100000,
1380100062,Barangay 62,barangay,1380100000,
1380100063,Barangay 63,barangay,1380100000,
